Date;Technology Return;Financials Return;Energy Return;Technology Portfolio;Financials Portfolio;Energy Portfolio;Technology Return Weekly
17.03.22;0.006875337;0.009859788;0.031750085;86.50691028;96.87618484;134.7356174;-0.001239167
18.03.22;0.022438114;0.002217702;-0.001469182;88.44796217;97.09102733;134.5376663;0.005003142
19.03.22;0.022438114;0.002217702;-0.001469182;88.44796217;97.09102733;134.5376663;0.011245452
20.03.22;0.022438114;0.002217702;-0.001469182;88.44796217;97.09102733;134.5376663;0.017487761
21.03.22;-0.003481886;-0.00634615;0.038328452;88.13999645;96.47487307;139.6942868;0.019255152
22.03.22;0.020039036;0.027736346;-0.005299095;89.90623698;99.15073348;138.9540335;0.01773603
23.03.22;-0.00862599;-0.027266963;0.016602952;89.13070666;96.4471941;141.2610806;0.011731548
24.03.22;0.022677609;0.004532464;0.000249821;91.15197801;96.88433749;141.2963706;0.013989016
25.03.22;0.002696342;0.012090734;0.020704817;91.39775492;98.05574029;144.2218861;0.011168763
26.03.22;0.002696342;0.012090734;0.020704817;91.39775492;98.05574029;144.2218861;0.00834851
27.03.22;0.002696342;0.012090734;0.020704817;91.39775492;98.05574029;144.2218861;0.005528256
28.03.22;0.008022999;-0.006954782;-0.026463389;92.13103902;97.37378402;140.4052862;0.007171811
29.03.22;0.019312265;0.005046339;-0.002857433;93.91029805;97.86516513;140.0040876;0.007067987
30.03.22;-0.007819763;-0.014225463;0.009890329;93.1759418;96.47298788;141.3887741;0.007183162
31.03.22;-0.017900145;-0.028801155;-0.014603252;91.50807896;93.69445437;139.3240381;0.00138634
01.04.22;0.005901639;-0.001001682;0.007792381;92.04812662;93.60060229;140.409704;0.00184424
02.04.22;0.005901639;-0.001001682;0.007792381;92.04812662;93.60060229;140.409704;0.00230214
03.04.22;0.005901639;-0.001001682;0.007792381;92.04812662;93.60060229;140.409704;0.002760039
04.04.22;0.021679244;0.001076752;0.000335305;94.04366044;93.70138691;140.4567841;0.004710931
05.04.22;-0.015077806;-0.016089482;-0.011446441;92.62568842;92.19378011;138.8490538;-0.000201936
06.04.22;-0.028850155;-0.013751947;0.008163815;89.95342296;90.92593612;139.9825918;-0.003206278
07.04.22;-0.001274671;-0.004405754;0.015138112;89.83876194;90.52533881;142.101664;-0.00083121
08.04.22;-0.011277914;0.013249956;0.026199288;88.82556812;91.72479559;145.8246265;-0.003285432
09.04.22;-0.011277914;0.013249956;0.026199288;88.82556812;91.72479559;145.8246265;-0.005739654
10.04.22;-0.011277914;0.013249956;0.026199288;88.82556812;91.72479559;145.8246265;-0.008193876
11.04.22;-0.028269649;-0.001456602;-0.033156759;86.31450045;91.59118904;140.9895544;-0.015329432
12.04.22;-0.004038511;-0.011651444;0.018394781;85.9659184;90.52401942;143.5830265;-0.01375239
13.04.22;0.015311395;-0.005717074;0.013513149;87.2821765;90.00648687;145.5232852;-0.007443597
14.04.22;-0.023170262;-0.023139267;0.006643625;85.25982561;87.92380269;146.4900874;-0.010571538
15.04.22;-0.023170262;-0.023139267;0.006643625;85.25982561;87.92380269;146.4900874;-0.012270445
16.04.22;-0.023170262;-0.023139267;0.006643625;85.25982561;87.92380269;146.4900874;-0.013969352
17.04.22;-0.023170262;-0.023139267;0.006643625;85.25982561;87.92380269;146.4900874;-0.015668259
18.04.22;0.003085405;0.018367884;0.011822591;85.52288667;89.5387769;148.2219798;-0.011188966
19.04.22;0.018355878;0.020040921;-0.008909351;87.09273435;91.33321644;146.9014182;-0.007989767
20.04.22;-0.013655302;0.009600343;0.002570071;85.90345674;92.21004666;147.2789653;-0.012127867
21.04.22;-0.02126025;-0.017695431;-0.026380841;84.07712777;90.5783501;143.3936223;-0.011855008
22.04.22;-0.030108049;-0.03171179;-0.018252918;81.54572946;87.7059485;140.7762704;-0.01284612
23.04.22;-0.030108049;-0.03171179;-0.018252918;81.54572946;87.7059485;140.7762704;-0.013837233
24.04.22;-0.030108049;-0.03171179;-0.018252918;81.54572946;87.7059485;140.7762704;-0.014828345
25.04.22;0.016875479;-0.00133701;-0.035576235;82.92185267;87.58868481;135.7679807;-0.012858335
26.04.22;-0.036731537;-0.028418258;0.001561616;79.87600555;85.09956699;135.9799982;-0.020727966
27.04.22;0.003111692;-0.004926605;0.016329523;80.12455506;84.68031506;138.2004867;-0.018332681
28.04.22;0.056582262;0.015009947;0.028266229;84.65818365;85.95136212;142.1068933;-0.007212322
29.04.22;-0.036510476;-0.035421337;-0.024684202;81.56727308;82.90684993;138.599098;-0.008126954
30.04.22;-0.036510476;-0.035421337;-0.024684202;81.56727308;82.90684993;138.599098;-0.009041587
01.05.22;-0.036510476;-0.035421337;-0.024684202;81.56727308;82.90684993;138.599098;-0.009956219
02.05.22;0.018440516;0.007350805;0.013898531;83.07141569;83.51628199;140.5254218;-0.009732642
03.05.22;0.001697205;0.016819515;0.022078312;83.21240493;84.92098533;143.6279859;-0.004242822
04.05.22;0.039135812;0.038262906;0.0403299;86.46898997;88.17030904;149.4204882;0.000903481
05.05.22;-0.051071222;-0.030231614;-0.011112422;82.052913;85.50477826;147.7600647;-0.014475588
06.05.22;-0.007617286;-0.005835408;0.024359688;81.42789247;85.00582299;151.3594538;-0.010347989
07.05.22;-0.007617286;-0.005835408;0.024359688;81.42789247;85.00582299;151.3594538;-0.006220391
08.05.22;-0.007617286;-0.005835408;0.024359688;81.42789247;85.00582299;151.3594538;-0.002092792
09.05.22;-0.035963632;-0.021690045;-0.081670701;78.49944968;83.16204284;138.9978211;-0.009864814
10.05.22;0.013874057;-0.014520081;0.007199087;79.58855555;81.95452324;139.9984786;-0.008125263
11.05.22;-0.027663789;-0.010631471;0.015424757;77.38683452;81.0832261;142.1579211;-0.017668064
12.05.22;-0.012353983;-0.009799979;0.000520383;76.43079886;80.28861216;142.2318976;-0.012137029
13.05.22;0.030425055;0.018870653;0.032018684;78.75621016;81.80371068;146.7859758;-0.006702409
14.05.22;0.030425055;0.018870653;0.032018684;78.75621016;81.80371068;146.7859758;-0.001267789
15.05.22;0.030425055;0.018870653;0.032018684;78.75621016;81.80371068;146.7859758;0.004166831
16.05.22;-0.006157529;-0.011375862;0.027393187;78.27126652;80.87312294;150.8069115;0.008424846
17.05.22;0.02204049;0.033329606;0.011278872;79.99640355;83.56859226;152.5078433;0.009591479
18.05.22;-0.04482934;-0.028646879;-0.026101537;76.41021761;81.17461294;148.5271542;0.007139258
19.05.22;-0.013632777;-0.006994753;-0.000634885;75.36853417;80.6068166;148.4328566;0.006956573
20.05.22;-0.000543204;-0.006298794;0.005520495;75.32759367;80.09909091;149.2522795;0.002532536
21.05.22;-0.000543204;-0.006298794;0.005520495;75.32759367;80.09909091;149.2522795;-0.001891501
22.05.22;-0.000543204;-0.006298794;0.005520495;75.32759367;80.09909091;149.2522795;-0.006315538
23.05.22;0.028986155;0.048603123;0.028493474;77.51105096;83.99215689;153.5049954;-0.001295012
24.05.22;-0.031854878;-0.002671784;0.004114251;75.04194586;83.76774799;154.1365535;-0.00899435
