Date,VADER Sentiment,FinBERT Sentiment,GPT Sentiment
2022-10-11,16.0,33.0,-4.0
2022-10-12,5.0,29.0,-5.0
2022-10-13,28.0,45.0,6.0
2022-10-14,6.0,35.0,1.0
2022-10-15,16.0,27.0,2.0
2022-10-16,6.0,31.0,-1.0
2022-10-17,4.0,29.0,4.0
2022-10-18,3.0,54.0,-4.0
2022-10-19,21.0,57.0,1.0
2022-10-20,20.0,39.0,3.0
2022-10-21,11.0,36.0,3.0
2022-10-22,6.0,18.0,-2.0
2022-10-23,6.0,27.0,4.0
2022-10-24,8.0,37.0,-4.0
2022-10-25,21.0,69.0,-10.0
2022-10-26,24.0,107.0,-14.0
2022-10-27,41.0,195.0,-34.0
2022-10-28,12.0,155.0,6.0
2022-10-29,20.0,48.0,-3.0
2022-10-30,18.0,49.0,4.0
2022-10-31,19.0,74.0,-11.0
2022-11-01,10.0,72.0,-12.0
2022-11-02,11.0,55.0,-2.0
2022-11-03,10.0,63.0,3.0
2022-11-04,22.0,85.0,-3.0
2022-11-05,15.0,41.0,0.0
2022-11-06,4.0,46.0,-5.0
2022-11-07,11.0,58.0,-3.0
2022-11-08,7.0,34.0,0.0
2022-11-09,24.0,46.0,-9.0
2022-11-10,14.0,55.0,-9.0
2022-11-11,12.0,43.0,-4.0
2022-11-12,13.0,38.0,-1.0
2022-11-13,11.0,33.0,6.0
2022-11-14,9.0,22.0,2.0
2022-11-15,12.0,50.0,-1.0
2022-11-16,2.0,53.0,-11.0
2022-11-17,7.0,58.0,-3.0
2022-11-18,6.0,35.0,-3.0
2022-11-19,8.0,25.0,-2.0
2022-11-20,10.0,22.0,1.0
2022-11-21,12.0,24.0,7.0
2022-11-22,21.0,46.0,4.0
2022-11-23,6.0,38.0,6.0
2022-11-24,10.0,39.0,5.0
2022-11-25,7.0,29.0,3.0
2022-11-26,4.0,27.0,-3.0
2022-11-27,8.0,30.0,1.0
2022-11-28,6.0,43.0,0.0
2022-11-29,16.0,61.0,-1.0
2022-11-30,8.0,43.0,-4.0
2022-12-01,8.0,47.0,7.0
2022-12-02,4.0,28.0,-3.0
2022-12-03,19.0,32.0,5.0
2022-12-04,2.0,25.0,3.0
2022-12-05,16.0,43.0,0.0
2022-12-06,20.0,45.0,4.0
2022-12-07,12.0,34.0,1.0
2022-12-08,16.0,44.0,0.0
2022-12-09,14.0,42.0,-3.0
2022-12-10,8.0,13.0,6.0
2022-12-11,15.0,28.0,8.0
2022-12-12,20.0,48.0,10.0
2022-12-13,8.0,35.0,3.0
2022-12-14,19.0,39.0,5.0
2022-12-15,20.0,45.0,3.0
2022-12-16,9.0,28.0,1.0
2022-12-17,6.0,22.0,-2.0
2022-12-18,5.0,15.0,0.0
2022-12-19,3.0,40.0,4.0
2022-12-20,8.0,50.0,1.0
2022-12-21,14.0,41.0,1.0
2022-12-22,3.0,35.0,6.0
2022-12-23,6.0,23.0,-2.0
2022-12-24,7.0,20.0,2.0
2022-12-25,11.0,23.0,8.0
2022-12-26,15.0,26.0,9.0
2022-12-27,13.0,45.0,0.0
2022-12-28,10.0,45.0,1.0
2022-12-29,2.0,35.0,1.0
2022-12-30,-1.0,29.0,1.0
